"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1","2300-2359","American Airlines Inc.","Albany, NY: Albany International",0,0
"2","2300-2359","Southwest Airlines Co.","Albany, NY: Albany International",362,12.4827586206897
"3","2300-2359","United Air Lines Inc.","Albany, NY: Albany International",0,0
"4","2300-2359","American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",9,4.5
"5","2300-2359","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",2101,17.5083333333333
"6","2300-2359","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",0,0
"7","2300-2359","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",0,0
"8","2300-2359","ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",56,56
"9","2300-2359","American Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",0,0
"10","2300-2359","SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International",0,0
"11","2300-2359","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",1518,3.43438914027149
"12","2300-2359","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",0,0
"13","2300-2359","Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",0,0
"14","2300-2359","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",118,10.7272727272727
"15","2300-2359","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",209922,10.5287390911827
"16","2300-2359","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",31324,13.6726320384112
"17","2300-2359","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",10060,27.7134986225895
"18","2300-2359","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",139,11.5833333333333
"19","2300-2359","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",57089,17.5012262415696
"20","2300-2359","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International",5195,22.3922413793103
"21","2300-2359","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",4122,20.9238578680203
"22","2300-2359","Spirit Air Lines","Atlantic City, NJ: Atlantic City International",3,3
"23","2300-2359","United Air Lines Inc.","Augusta, GA: Augusta Regional at Bush Field",2,2
"24","2300-2359","American Airlines Inc.","Austin, TX: Austin - Bergstrom International",7,7
"25","2300-2359","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",4760,17.6296296296296
"26","2300-2359","JetBlue Airways","Austin, TX: Austin - Bergstrom International",7708,20.4456233421751
"27","2300-2359","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International",6,3
"28","2300-2359","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International",1259,9.68461538461538
"29","2300-2359","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field",1,0.333333333333333
"30","2300-2359","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",384,11.6363636363636
"31","2300-2359","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",0,0
"32","2300-2359","ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",9,4.5
"33","2300-2359","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",88088,14.1166666666667
"34","2300-2359","Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",1308,25.6470588235294
"35","2300-2359","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",0,0
"36","2300-2359","SkyWest Airlines Inc.","Billings, MT: Billings Logan International",23,11.5
"37","2300-2359","United Air Lines Inc.","Billings, MT: Billings Logan International",6,3
"38","2300-2359","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International",0,0
"39","2300-2359","Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International",11,11
"40","2300-2359","American Airlines Inc.","Boise, ID: Boise Air Terminal",127,6.04761904761905
