"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_arrtimeblk_mean$MEAN"
"1",4,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional",545,5.29126213592233
"2",4,"ExpressJet Airlines Inc.","Abilene, TX: Abilene Regional",329,15.6666666666667
"3",4,"Alaska Airlines Inc.","Adak Island, AK: Adak",417,8.17647058823529
"4",4,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez",1298,7.5028901734104
"5",4,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez",415,13.8333333333333
"6",4,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez",754,14.2264150943396
"7",4,"Delta Air Lines Inc.","Akron, OH: Akron-Canton Regional",1428,6.93203883495146
"8",4,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional",5171,16.6270096463023
"9",4,"SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional",537,11.1875
"10",4,"Southwest Airlines Co.","Akron, OH: Akron-Canton Regional",2599,12.3175355450237
"11",4,"Spirit Air Lines","Akron, OH: Akron-Canton Regional",94,4.08695652173913
"12",4,"ExpressJet Airlines Inc.","Albany, GA: Southwest Georgia Regional",1830,11.7307692307692
"13",4,"American Airlines Inc.","Albany, NY: Albany International",1502,9.69032258064516
"14",4,"Delta Air Lines Inc.","Albany, NY: Albany International",1051,5.0047619047619
"15",4,"ExpressJet Airlines Inc.","Albany, NY: Albany International",1714,23.1621621621622
"16",4,"JetBlue Airways","Albany, NY: Albany International",1900,18.0952380952381
"17",4,"SkyWest Airlines Inc.","Albany, NY: Albany International",477,6.71830985915493
"18",4,"Southwest Airlines Co.","Albany, NY: Albany International",4906,7.59442724458204
"19",4,"United Air Lines Inc.","Albany, NY: Albany International",1273,11.0695652173913
"20",4,"Alaska Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",337,6.35849056603774
"21",4,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3451,13.6944444444444
"22",4,"Delta Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1169,5.62019230769231
"23",4,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",603,14.7073170731707
"24",4,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",989,19.0192307692308
"25",4,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport",3199,10.059748427673
"26",4,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport",20533,11.6466250709019
"27",4,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport",1735,12.8518518518519
"28",4,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International",5210,11.6816143497758
