"","DAY_OF_WEEK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",4,"SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional","CANCELLED",2
"2",4,"Alaska Airlines Inc.","Adak Island, AK: Adak","CANCELLED",2
"3",4,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"4",4,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"5",4,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",5
"6",4,"American Airlines Inc.","Albany, NY: Albany International","CANCELLED",2
"7",4,"JetBlue Airways","Albany, NY: Albany International","CANCELLED",1
"8",4,"SkyWest Airlines Inc.","Albany, NY: Albany International","CANCELLED",1
"9",4,"United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",2
"10",4,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"11",4,"ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"12",4,"SkyWest Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",3
"13",4,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",11
"14",4,"United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"15",4,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",5
"16",4,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",4
"17",4,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional","CANCELLED",5
"18",4,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",12
"19",4,"American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"20",4,"United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",1
"21",4,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",6
"22",4,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",8
"23",4,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"24",4,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"25",4,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",1
"26",4,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",29
"27",4,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"28",4,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",12
"29",4,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",61
"30",4,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",18
"31",4,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",5
"32",4,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",8
"33",4,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",27
"34",4,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",15
"35",4,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"36",4,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",15
"37",4,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",6
"38",4,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",4
"39",4,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"40",4,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",22
"41",4,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",3
"42",4,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",7
"43",4,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",4
"44",4,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",6
"45",4,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",7
"46",4,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",123
"47",4,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",15
"48",4,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"49",4,"ExpressJet Airlines Inc.","Bangor, ME: Bangor International","CANCELLED",2
"50",4,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",2
"51",4,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",18
"52",4,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional","CANCELLED",2
"53",4,"Alaska Airlines Inc.","Bellingham, WA: Bellingham International","CANCELLED",1
"54",4,"SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional","CANCELLED",1
"55",4,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",10
"56",4,"Alaska Airlines Inc.","Bethel, AK: Bethel Airport","CANCELLED",3
"57",4,"Delta Air Lines Inc.","Billings, MT: Billings Logan International","CANCELLED",1
"58",4,"SkyWest Airlines Inc.","Billings, MT: Billings Logan International","CANCELLED",3
"59",4,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",14
"60",4,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"61",4,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",3
"62",4,"SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",4
"63",4,"American Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"64",4,"Delta Air Lines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"65",4,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",11
"66",4,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",6
"67",4,"United Air Lines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",3
"68",4,"American Airlines Inc.","Boston, MA: Logan International","CANCELLED",50
"69",4,"Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",5
"70",4,"ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",2
"71",4,"JetBlue Airways","Boston, MA: Logan International","CANCELLED",25
"72",4,"Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",10
"73",4,"Spirit Air Lines","Boston, MA: Logan International","CANCELLED",12
"74",4,"United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",17
"75",4,"Delta Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",1
"76",4,"SkyWest Airlines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",4
"77",4,"ExpressJet Airlines Inc.","Brownsville, TX: Brownsville South Padre Island International","CANCELLED",9
"78",4,"ExpressJet Airlines Inc.","Brunswick, GA: Brunswick Golden Isles","CANCELLED",1
"79",4,"American Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",2
"80",4,"Delta Air Lines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",1
"81",4,"ExpressJet Airlines Inc.","Buffalo, NY: Buffalo Niagara International","CANCELLED",17
"82",4,"JetBlue Airways","Buffalo, NY: Buffalo Niagara International","CANCELLED",3
