"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","COUNT","data_deptimeblk_mean$MEAN"
"1","2300-2359","JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport",6356,19.8006230529595
"2","2300-2359","Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",3197,2.65531561461794
"3","2300-2359","American Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International",2804,12.2445414847162
"4","2300-2359","Delta Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",12,1
"5","2300-2359","JetBlue Airways","Anchorage, AK: Ted Stevens Anchorage International",2265,18.2661290322581
"6","2300-2359","United Air Lines Inc.","Anchorage, AK: Ted Stevens Anchorage International",4921,13.8619718309859
"7","2300-2359","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",72198,16.151677852349
"8","2300-2359","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",13141,15.6440476190476
"9","2300-2359","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International",1237,16.2763157894737
"10","2300-2359","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International",99,7.61538461538461
"11","2300-2359","Frontier Airlines Inc.","Austin, TX: Austin - Bergstrom International",2016,26.1818181818182
"12","2300-2359","Virgin America","Austin, TX: Austin - Bergstrom International",98,49
"13","2300-2359","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",2200,11.8279569892473
"14","2300-2359","JetBlue Airways","Boston, MA: Logan International",6543,23.4516129032258
"15","2300-2359","Southwest Airlines Co.","Boston, MA: Logan International",817,32.68
"16","2300-2359","United Air Lines Inc.","Boston, MA: Logan International",4,2
"17","2300-2359","United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International",10,10
"18","2300-2359","American Airlines Inc.","Charlotte, NC: Charlotte Douglas International",114,14.25
"19","2300-2359","Southwest Airlines Co.","Chicago, IL: Chicago Midway International",787,12.6935483870968
"20","2300-2359","Alaska Airlines Inc.","Chicago, IL: Chicago O'Hare International",815,20.8974358974359
"21","2300-2359","American Airlines Inc.","Chicago, IL: Chicago O'Hare International",0,0
"22","2300-2359","ExpressJet Airlines Inc.","Chicago, IL: Chicago O'Hare International",106,8.15384615384615
"23","2300-2359","Frontier Airlines Inc.","Chicago, IL: Chicago O'Hare International",0,0
"24","2300-2359","SkyWest Airlines Inc.","Chicago, IL: Chicago O'Hare International",213,14.2
"25","2300-2359","United Air Lines Inc.","Chicago, IL: Chicago O'Hare International",2308,19.5593220338983
"26","2300-2359","SkyWest Airlines Inc.","Cincinnati, OH: Cincinnati/Northern Kentucky International",0,0
"27","2300-2359","Frontier Airlines Inc.","Cleveland, OH: Cleveland-Hopkins International",0,0
"28","2300-2359","American Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",7623,22.3548387096774
"29","2300-2359","ExpressJet Airlines Inc.","Dallas/Fort Worth, TX: Dallas/Fort Worth International",487,15.21875
"30","2300-2359","Spirit Air Lines","Dallas/Fort Worth, TX: Dallas/Fort Worth International",10087,15.2141779788839
"31","2300-2359","American Airlines Inc.","Denver, CO: Denver International",3152,8.65934065934066
"32","2300-2359","Delta Air Lines Inc.","Denver, CO: Denver International",4709,36.7890625
"33","2300-2359","Frontier Airlines Inc.","Denver, CO: Denver International",46066,23.4313326551373
"34","2300-2359","JetBlue Airways","Denver, CO: Denver International",15340,21.8207681365576
"35","2300-2359","SkyWest Airlines Inc.","Denver, CO: Denver International",66,3.14285714285714
"36","2300-2359","Southwest Airlines Co.","Denver, CO: Denver International",2982,16.5666666666667
"37","2300-2359","Spirit Air Lines","Denver, CO: Denver International",4759,13.2194444444444
"38","2300-2359","United Air Lines Inc.","Denver, CO: Denver International",2811,9.24671052631579
"39","2300-2359","SkyWest Airlines Inc.","Eugene, OR: Mahlon Sweet Field",27,13.5
"40","2300-2359","Alaska Airlines Inc.","Fairbanks, AK: Fairbanks International",689,2.58052434456929
"41","2300-2359","SkyWest Airlines Inc.","Fargo, ND: Hector International",68,68
"42","2300-2359","JetBlue Airways","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",8841,20.3241379310345
"43","2300-2359","Southwest Airlines Co.","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",0,0
"44","2300-2359","Spirit Air Lines","Fort Lauderdale, FL: Fort Lauderdale-Hollywood International",4248,16.9243027888446
"45","2300-2359","SkyWest Airlines Inc.","Green Bay, WI: Green Bay Austin Straubel International",57,57
"46","2300-2359","JetBlue Airways","Hartford, CT: Bradley International",3195,29.5833333333333
"47","2300-2359","SkyWest Airlines Inc.","Hays, KS: Hays Regional",35,35
"48","2300-2359","Alaska Airlines Inc.","Honolulu, HI: Honolulu International",333,10.0909090909091
"49","2300-2359","American Airlines Inc.","Honolulu, HI: Honolulu International",1034,6.42236024844721
"50","2300-2359","Delta Air Lines Inc.","Honolulu, HI: Honolulu International",2024,18.0714285714286
"51","2300-2359","Hawaiian Airlines Inc.","Honolulu, HI: Honolulu International",449,5.04494382022472
"52","2300-2359","United Air Lines Inc.","Honolulu, HI: Honolulu International",1485,9.16666666666667
"53","2300-2359","ExpressJet Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",168,3.65217391304348
"54","2300-2359","SkyWest Airlines Inc.","Houston, TX: George Bush Intercontinental/Houston",1038,7.36170212765957
"55","2300-2359","United Air Lines Inc.","Houston, TX: George Bush Intercontinental/Houston",5246,11.0442105263158
