"","TIME_BLOCK","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1","1300-1359","SkyWest Airlines Inc.","Aberdeen, SD: Aberdeen Regional","CANCELLED",1
"2","1300-1359","ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",4
"3","1300-1359","SkyWest Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",1
"4","1300-1359","Spirit Air Lines","Akron, OH: Akron-Canton Regional","CANCELLED",1
"5","1300-1359","United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",1
"6","1300-1359","ExpressJet Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"7","1300-1359","Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",7
"8","1300-1359","United Air Lines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"9","1300-1359","ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",3
"10","1300-1359","SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional","CANCELLED",3
"11","1300-1359","ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",1
"12","1300-1359","ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",8
"13","1300-1359","SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",2
"14","1300-1359","SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",2
"15","1300-1359","ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",2
"16","1300-1359","SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",38
"17","1300-1359","American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",3
"18","1300-1359","Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",60
"19","1300-1359","ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",24
"20","1300-1359","Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"21","1300-1359","SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",6
"22","1300-1359","Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",24
"23","1300-1359","Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",11
"24","1300-1359","United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",2
"25","1300-1359","Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",4
"26","1300-1359","ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field","CANCELLED",1
"27","1300-1359","American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",3
"28","1300-1359","SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",7
"29","1300-1359","Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",5
"30","1300-1359","United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"31","1300-1359","SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",9
"32","1300-1359","American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",4
"33","1300-1359","Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"34","1300-1359","ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",1
"35","1300-1359","JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",1
"36","1300-1359","Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",54
"37","1300-1359","United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"38","1300-1359","ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",1
"39","1300-1359","SkyWest Airlines Inc.","Bemidji, MN: Bemidji Regional","CANCELLED",1
"40","1300-1359","SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",3
"41","1300-1359","Alaska Airlines Inc.","Bethel, AK: Bethel Airport","CANCELLED",4
"42","1300-1359","United Air Lines Inc.","Billings, MT: Billings Logan International","CANCELLED",2
"43","1300-1359","Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"44","1300-1359","ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"45","1300-1359","SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",1
"46","1300-1359","Frontier Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",1
"47","1300-1359","SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",13
"48","1300-1359","ExpressJet Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",1
"49","1300-1359","American Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",4
"50","1300-1359","American Airlines Inc.","Boston, MA: Logan International","CANCELLED",34
"51","1300-1359","Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",6
"52","1300-1359","ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",1
"53","1300-1359","JetBlue Airways","Boston, MA: Logan International","CANCELLED",13
"54","1300-1359","Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",6
"55","1300-1359","Spirit Air Lines","Boston, MA: Logan International","CANCELLED",1
"56","1300-1359","United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",5
"57","1300-1359","Delta Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",1
