"","MONTH","NAME_AIRLINE","NAME_AIRPORT","FLIGHT_STATE","NFLIGHTS"
"1",1,"JetBlue Airways","Aguadilla, PR: Rafael Hernandez","CANCELLED",5
"2",1,"Spirit Air Lines","Aguadilla, PR: Rafael Hernandez","CANCELLED",1
"3",1,"United Air Lines Inc.","Aguadilla, PR: Rafael Hernandez","CANCELLED",3
"4",1,"ExpressJet Airlines Inc.","Akron, OH: Akron-Canton Regional","CANCELLED",11
"5",1,"American Airlines Inc.","Albany, NY: Albany International","CANCELLED",5
"6",1,"ExpressJet Airlines Inc.","Albany, NY: Albany International","CANCELLED",6
"7",1,"Southwest Airlines Co.","Albany, NY: Albany International","CANCELLED",12
"8",1,"United Air Lines Inc.","Albany, NY: Albany International","CANCELLED",1
"9",1,"American Airlines Inc.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",1
"10",1,"JetBlue Airways","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",2
"11",1,"Southwest Airlines Co.","Albuquerque, NM: Albuquerque International Sunport","CANCELLED",9
"12",1,"ExpressJet Airlines Inc.","Alexandria, LA: Alexandria International","CANCELLED",2
"13",1,"Delta Air Lines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",1
"14",1,"ExpressJet Airlines Inc.","Allentown/Bethlehem/Easton, PA: Lehigh Valley International","CANCELLED",7
"15",1,"SkyWest Airlines Inc.","Alpena, MI: Alpena County Regional","CANCELLED",4
"16",1,"ExpressJet Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",2
"17",1,"SkyWest Airlines Inc.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",1
"18",1,"Southwest Airlines Co.","Amarillo, TX: Rick Husband Amarillo International","CANCELLED",1
"19",1,"Alaska Airlines Inc.","Anchorage, AK: Ted Stevens Anchorage International","CANCELLED",9
"20",1,"ExpressJet Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",4
"21",1,"SkyWest Airlines Inc.","Appleton, WI: Appleton International","CANCELLED",2
"22",1,"SkyWest Airlines Inc.","Arcata/Eureka, CA: Arcata","CANCELLED",6
"23",1,"Delta Air Lines Inc.","Asheville, NC: Asheville Regional","CANCELLED",4
"24",1,"ExpressJet Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",4
"25",1,"SkyWest Airlines Inc.","Asheville, NC: Asheville Regional","CANCELLED",3
"26",1,"SkyWest Airlines Inc.","Aspen, CO: Aspen Pitkin County Sardy Field","CANCELLED",27
"27",1,"Alaska Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",1
"28",1,"American Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",21
"29",1,"Delta Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",210
"30",1,"ExpressJet Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",57
"31",1,"Frontier Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",4
"32",1,"SkyWest Airlines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",10
"33",1,"Southwest Airlines Co.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",83
"34",1,"Spirit Air Lines","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",11
"35",1,"United Air Lines Inc.","Atlanta, GA: Hartsfield-Jackson Atlanta International","CANCELLED",17
"36",1,"Spirit Air Lines","Atlantic City, NJ: Atlantic City International","CANCELLED",16
"37",1,"ExpressJet Airlines Inc.","Augusta, GA: Augusta Regional at Bush Field","CANCELLED",1
"38",1,"American Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",11
"39",1,"Delta Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",4
"40",1,"JetBlue Airways","Austin, TX: Austin - Bergstrom International","CANCELLED",4
"41",1,"SkyWest Airlines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",2
"42",1,"Southwest Airlines Co.","Austin, TX: Austin - Bergstrom International","CANCELLED",16
"43",1,"United Air Lines Inc.","Austin, TX: Austin - Bergstrom International","CANCELLED",4
"44",1,"Virgin America","Austin, TX: Austin - Bergstrom International","CANCELLED",1
"45",1,"SkyWest Airlines Inc.","Bakersfield, CA: Meadows Field","CANCELLED",4
"46",1,"Alaska Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",4
"47",1,"American Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",46
"48",1,"Delta Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",30
"49",1,"ExpressJet Airlines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",2
"50",1,"JetBlue Airways","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",16
"51",1,"Southwest Airlines Co.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",486
"52",1,"Spirit Air Lines","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",28
"53",1,"United Air Lines Inc.","Baltimore, MD: Baltimore/Washington International Thurgood Marshall","CANCELLED",19
"54",1,"Alaska Airlines Inc.","Barrow, AK: Wiley Post/Will Rogers Memorial","CANCELLED",2
"55",1,"ExpressJet Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",1
"56",1,"SkyWest Airlines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",1
"57",1,"United Air Lines Inc.","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field","CANCELLED",1
"58",1,"ExpressJet Airlines Inc.","Beaumont/Port Arthur, TX: Jack Brooks Regional","CANCELLED",3
"59",1,"Alaska Airlines Inc.","Bellingham, WA: Bellingham International","CANCELLED",1
"60",1,"SkyWest Airlines Inc.","Bend/Redmond, OR: Roberts Field","CANCELLED",5
"61",1,"United Air Lines Inc.","Billings, MT: Billings Logan International","CANCELLED",1
"62",1,"SkyWest Airlines Inc.","Binghamton, NY: Greater Binghamton/Edwin A. Link Field","CANCELLED",1
"63",1,"Delta Air Lines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"64",1,"ExpressJet Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",9
"65",1,"SkyWest Airlines Inc.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",3
"66",1,"Southwest Airlines Co.","Birmingham, AL: Birmingham-Shuttlesworth International","CANCELLED",2
"67",1,"ExpressJet Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",2
"68",1,"SkyWest Airlines Inc.","Bismarck/Mandan, ND: Bismarck Municipal","CANCELLED",1
"69",1,"ExpressJet Airlines Inc.","Bloomington/Normal, IL: Central Illinois Regional","CANCELLED",1
"70",1,"American Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",1
"71",1,"SkyWest Airlines Inc.","Boise, ID: Boise Air Terminal","CANCELLED",8
"72",1,"Southwest Airlines Co.","Boise, ID: Boise Air Terminal","CANCELLED",1
"73",1,"American Airlines Inc.","Boston, MA: Logan International","CANCELLED",102
"74",1,"Delta Air Lines Inc.","Boston, MA: Logan International","CANCELLED",19
"75",1,"ExpressJet Airlines Inc.","Boston, MA: Logan International","CANCELLED",8
"76",1,"JetBlue Airways","Boston, MA: Logan International","CANCELLED",95
"77",1,"Southwest Airlines Co.","Boston, MA: Logan International","CANCELLED",27
"78",1,"Spirit Air Lines","Boston, MA: Logan International","CANCELLED",3
"79",1,"United Air Lines Inc.","Boston, MA: Logan International","CANCELLED",22
"80",1,"United Air Lines Inc.","Bozeman, MT: Bozeman Yellowstone International","CANCELLED",2
